"","year_harvest","yield_anomaly","NUMD","IRR","ETP_1","ETP_2","ETP_3","ETP_4","ETP_5","ETP_6","ETP_7","ETP_8","ETP_9","PR_1","PR_2","PR_3","PR_4","PR_5","PR_6","PR_7","PR_8","PR_9","RV_1","RV_2","RV_3","RV_4","RV_5","RV_6","RV_7","RV_8","RV_9","SeqPR_1","SeqPR_2","SeqPR_3","SeqPR_4","SeqPR_5","SeqPR_6","SeqPR_7","SeqPR_8","SeqPR_9","Tn_1","Tn_2","Tn_3","Tn_4","Tn_5","Tn_6","Tn_7","Tn_8","Tn_9","Tx_1","Tx_2","Tx_3","Tx_4","Tx_5","Tx_6","Tx_7","Tx_8","Tx_9"
"912",30,0.519940848210119,17,4,0.78885,1.25985,1.36618,2.26925,2.93259,3.86041,3.98175,3.62099,2.419,7.29513,3.52307,3.0653,2.94101,2.66986,2.66607,2.39285,0.427258,1.36263,39.5639,86.4264,88.5507,146.8,169.543,216.883,228.193,208.031,141.695,0.793255,0.520376,0.570674,0.507879,0.656891,0.305152,0.358651,0.0912023,0.308788,6.5515,4.56065,5.54817,8.42166,12.1564,14.0718,14.1849,14.2602,12.5685,10.7827,9.96138,10.9481,15.9817,18.2202,21.5148,21.8304,23.4859,21.2446
"745",23,-0.327103600705069,14,1,0.70916,0.675081,1.14155,1.69237,1.83514,2.51365,2.90223,2.95691,1.81079,2.72967,1.82407,2.96068,1.47048,5.17272,2.25474,1.54469,0.54559,3.83299,37.9607,69.6457,65.0099,121.296,118.317,151.881,166.816,191.18,120.527,0.577746,0.37801,0.725988,0.283895,0.955419,0.536704,0.521203,0.0884378,0.6,3.40226,0.741314,6.93665,5.3935,8.70671,10.7921,12.9612,12.9419,11.2723,7.64534,5.45287,11.7807,11.2325,14.5298,16.7337,19.072,21.551,19.3729
"442",2,0.611038948535692,9,2,0.367824,0.599048,1.09313,1.96442,2.5129,3.23451,2.44968,1.88557,1.41988,1.40524,1.69358,1.26369,0.452664,1.35655,2.24067,3.5021,3.48017,1.75438,32.5162,53.8193,96.2529,147.563,184.611,214.15,148.72,123.192,118.76,0.459506,0.62876,0.22615,0.163121,0.343514,0.347872,0.55731,0.69801,0.487589,-0.635117,0.759016,4.02798,3.98244,8.37977,12.1391,12.2289,12.5272,7.97888,5.00481,7.02145,11.6252,13.7694,19.4631,21.3361,19.425,20.1663,17.9538
"4298",53,1.59627240228548,79,2,0.2864,0.549428,1.12925,2.30714,2.83261,2.71865,2.63618,3.33769,2.00881,1.40902,1.24929,1.88818,0.789143,3.82994,5.72677,5.78664,1.94358,3.53512,75.4458,101.233,153.419,220.266,238.001,213.772,208.058,245.075,177.51,0.282093,0.292638,0.42528,0.24898,0.630349,0.656122,0.611587,0.40553,0.341156,-5.20532,-3.50256,-1.66537,2.33985,5.26477,7.30513,7.44451,10.0467,7.83287,0.195092,2.75546,5.12497,10.7571,13.3302,14.0598,13.986,18.3742,15.6372
"4327",25,0.762551700624252,80,3,0.558307,0.695341,1.08704,1.35497,1.82131,3.35887,4.01819,3.27572,1.75966,1.92018,2.19103,1.50489,4.50234,2.85037,1.44711,2.36444,0.739929,2.41232,35.1255,71.3127,94.3036,109.703,127.607,219.056,247.029,209.219,116.312,0.469997,0.400922,0.424905,0.718996,0.782518,0.343728,0.358654,0.339577,0.481004,3.44628,-0.608464,3.15884,4.74771,8.03603,12.8539,16.6898,13.5779,10.5138,8.15067,4.77321,10.0984,12.8762,14.7562,22.3168,27.3652,24.387,19.8366
"1292",30,0.91206968492711,24,3,0.486074,0.894672,1.145,2.02818,2.41713,3.5905,3.57537,3.69911,2.26725,6.64364,4.22285,2.97284,2.66036,2.78688,2.12028,2.93069,0.485725,1.41363,37.9459,85.0822,92.2407,153.088,154.218,215.62,220.693,219.542,145.037,0.809476,0.510776,0.548723,0.426042,0.605175,0.267361,0.391465,0.0742607,0.326042,5.23775,2.60248,4.14533,6.87616,10.8768,13.0499,12.5536,12.9156,11.1657,9.82956,8.65995,10.1291,14.8657,17.245,20.3197,20.853,23.2156,20.0307
"3710",25,0.446126128558584,69,2,0.680037,0.771033,1.12039,1.67668,2.03188,3.57125,4.44857,3.67114,1.77038,1.9887,1.77606,1.93122,2.94258,3.12106,2.10938,0.803192,0.53257,2.26487,33.5664,75.4097,91.6672,125.162,137.663,218,265.057,218.431,109.951,0.730365,0.341227,0.55575,0.68442,0.78331,0.36087,0.221248,0.196003,0.555797,3.94037,-1.21394,3.274,5.19293,7.87241,12.8655,16.4473,14.5951,11.2629,7.85175,3.61048,8.47918,11.5168,13.1713,19.8113,25.1645,22.797,18.2007
"2089",57,-1.28292616005048,38,1,0.27795,0.506887,1.14951,2.26581,3.12986,4.30727,5.14427,3.44668,1.78432,1.70152,1.68963,1.3782,1.90241,1.15694,2.59738,1.38671,2.24225,3.75114,51.086,77.0845,124.765,190.415,228.321,274.16,291.237,214.411,146.698,0.458316,0.537106,0.447005,0.417749,0.385002,0.444589,0.176372,0.361123,0.414286,-1.55172,-3.03561,1.18177,3.8048,7.8068,12.034,15.0618,12.9198,7.58235,4.28919,2.25877,8.81438,13.4679,16.9061,21.9285,26.3385,23.2608,15.853
"4339",37,-0.524404260387715,80,3,0.588179,0.936771,1.56946,2.32432,3.29601,4.26542,4.41727,3.67844,2.05274,4.21224,2.92376,3.02006,2.71071,2.08065,0.842288,1.88828,1.34636,2.47405,42.742,70.7483,132.796,173.643,227.192,267.432,247.178,213.167,140.191,0.59556,0.748464,0.55914,0.407885,0.282345,0.378853,0.281998,0.288935,0.524014,1.69873,4.90485,1.87322,5.53765,9.09789,11.6474,16.4078,14.9626,9.57029,6.85759,9.56806,9.91864,12.5922,18.1022,19.9684,26.2469,25.814,18.0996
"3412",56,1.5276886110217,63,1,0.367524,0.703492,1.51723,1.86411,2.46362,3.5527,3.12978,2.1743,2.36262,4.08709,5.19252,1.20388,1.94216,2.5329,1.5523,2.8236,4.25603,0.405799,29.8267,61.3762,132.606,151.717,180.41,229.518,190.629,149.113,163.019,0.842166,0.767432,0.449693,0.381349,0.587174,0.255556,0.414363,0.614439,0.281349,4.60869,4.33531,4.05466,6.65738,9.4142,12.8223,14.9629,12.663,11.8547,8.62149,9.19174,12.3628,14.3705,16.1474,20.8991,23.2199,19.6609,21.5144
"1650",55,0.123776580374074,30,5,0.164269,0.465134,0.738138,1.85791,1.73386,2.52312,3.90968,2.99082,1.63788,1.86461,1.92971,1.82205,1.63541,2.67292,2.28308,1.52603,0.479219,1.99816,25.2231,57.5557,82.4135,150.534,142.697,171.475,226.75,186.784,112.277,0.74328,0.477307,0.482191,0.292361,0.483199,0.398611,0.186828,0.248656,0.401389,1.48036,0.119615,1.35771,4.66221,7.32209,11.6032,15.9589,13.1362,10.9794,4.86304,4.59289,7.07862,13.0146,14.4996,19.4687,26.3748,23.5548,19.733
"4573",53,0.864149664292606,84,3,0.487546,0.946216,1.7864,3.6283,4.21606,3.918,4.17747,4.25496,3.0833,1.56869,1.87706,3.80064,0.653499,1.76565,1.32812,3.23481,0.917983,1.01013,70.3112,100.533,155.282,245.25,269.773,242.93,253.654,250.928,197.928,0.22756,0.579969,0.359748,0.205797,0.164797,0.479348,0.323633,0.280154,0.200725,0.694437,2.36843,4.83909,8.94915,11.9715,13.1696,14.2433,15.8865,14.0908,7.25272,9.55753,12.4399,19.3916,21.6833,21.8901,22.7353,26.6515,25.2012
"44",44,0.873947969748269,1,3,0.310438,0.52069,1.2418,1.92069,2.14566,3.54253,3.43731,2.35597,1.6137,1.67792,3.9547,1.79368,0.907908,5.29883,2.43576,3.72746,3.10256,2.15612,57.272,64.3627,130.814,170.643,168.853,237.862,227.641,171.935,137.255,0.287167,0.751165,0.353086,0.295652,0.630435,0.244928,0.420407,0.684432,0.508333,-2.1574,2.66272,2.90933,3.97748,7.86274,13.8352,13.5235,13.1475,9.45437,5.16768,8.5832,12.4068,15.2345,16.0706,23.7197,22.4335,22.1927,18.195
"487",47,0.440771702960866,9,2,0.461358,0.634134,1.34883,2.30783,3.32762,4.24579,3.96757,3.46868,2.17044,1.27098,1.58984,1.37182,1.90819,1.87446,2.40895,3.19841,1.22538,2.536,49.1612,78.0316,118.403,173.395,224.266,258.981,227.882,215.81,148.466,0.533288,0.533055,0.411805,0.557801,0.417639,0.340071,0.608785,0.230268,0.442199,1.15349,-1.29239,2.55891,6.44514,9.55608,13.1845,15.2706,12.5461,11.4887,5.91537,4.13404,10.63,14.9872,18.3391,23.7697,23.8489,22.7867,21.4226
"2703",42,1.9697574496408,50,3,0.228811,0.545159,1.24411,1.45628,2.61785,3.83723,3.04401,2.9104,2.01926,0.765232,3.8684,3.0954,5.09241,2.46839,1.45441,4.39077,2.90303,3.92659,65.6993,89.923,143.593,137.123,208.755,259.007,218.185,206.091,171.404,0.186674,0.438101,0.315706,0.562295,0.624537,0.24071,0.443945,0.308567,0.263661,-3.94033,-1.02587,0.00021814,3.81151,8.92586,11.6834,10.7134,12.7396,8.88541,2.32995,6.3315,9.16259,12.4094,18.4235,21.1292,19.9931,23.5049,20.1109
"1695",48,-0.274806518851689,31,2,0.487973,0.798078,1.2066,2.43573,2.88776,4.32765,4.02717,3.16931,2.19462,1.8591,4.0651,5.75318,1.4181,2.42663,0.384106,1.33689,1.84317,1.94301,44.0041,63.9909,84.3956,170.186,180.331,261.2,225.905,185.202,128.214,0.578853,0.466931,0.76583,0.598148,0.666368,0.114815,0.522103,0.671147,0.674074,2.83488,2.76777,4.86455,6.11835,9.45999,12.2225,15.462,12.9137,13.8439,7.63277,6.89992,9.63588,12.8603,15.3974,20.5756,23.588,19.875,20.5897
"3333",34,0.729666214692509,62,2,0.440939,0.695867,1.23044,2.24571,3.98838,3.46007,3.66662,3.17287,1.85904,0.44485,1.45828,2.50006,1.42163,1.87599,3.20823,1.86491,2.71093,1.30034,47.0608,72.4547,96.9773,164.855,249.178,213.785,221.231,189.687,130.641,0.210303,0.377974,0.568892,0.364341,0.305576,0.496641,0.404601,0.395349,0.326873,-0.963794,-0.312076,2.80593,3.94626,9.2958,11.8207,14.1359,14.2222,9.32149,4.58796,6.87301,10.1588,13.037,19.8847,20.411,23.8906,23.8435,19.0083
"4659",34,0.983803740629243,86,2,0.558176,0.836071,1.26961,2.30408,3.93245,3.69975,3.77588,2.75347,1.88053,0.261803,1.01388,1.69843,1.09798,2.11549,3.33551,1.27357,2.14067,1.7713,50.2935,72.6034,84.9142,151.437,230.195,219.017,215.598,154.325,118.496,0.127135,0.286004,0.611006,0.313726,0.345351,0.541176,0.227704,0.629981,0.380392,0.407096,1.14865,4.49024,4.90143,9.95788,12.2253,13.9802,14.4175,10.1637,5.05157,7.69172,10.9209,13.276,20.2285,20.1142,23.7104,23.32,18.5397
"4653",28,-0.562543281547335,86,2,0.524634,0.753818,1.19906,1.72925,2.95656,4.16209,3.62231,2.52768,1.94528,3.02208,0.422466,2.90242,3.06311,0.924842,1.28938,0.697111,2.06934,2.53079,27.7694,77.6235,94.1164,123.566,187.56,234.319,212.617,150.949,136.14,0.760911,0.107143,0.510436,0.676471,0.462998,0.443137,0.0872865,0.318786,0.266667,1.45749,-4.97666,1.66479,3.50924,9.35989,13.2058,12.9212,12.0989,7.52832,6.02104,0.468829,8.4846,9.82867,17.4638,21.8363,22.3079,21.4173,16.6618
"3732",47,0.0732504974205384,69,2,0.704437,0.823188,1.36986,2.05897,3.17936,4.11863,3.52296,3.27486,2.28944,1.22587,2.44993,1.21946,2.23109,1.8391,1.61791,4.25389,2.84329,1.3312,43.6365,71.1878,100.638,146.312,205.368,245.926,198.083,193.386,141.617,0.52805,0.595885,0.490533,0.639493,0.535063,0.225725,0.664797,0.41129,0.417754,3.1655,0.536361,3.75152,6.33703,8.67698,13.1664,14.5748,12.7465,11.8048,7.21857,4.60434,9.57306,13.5738,16.5504,21.824,21.2435,20.7632,20.6118
"2817",42,0.63772444087334,52,5,0.667198,1.00862,1.83452,1.88745,2.83432,4.22717,3.74815,3.49955,2.59856,0.728969,3.25075,3.11517,5.40972,2.50794,2.36424,2.56091,1.7224,2.44971,67.035,77.4147,146.146,132.413,183.795,240.172,216.908,199.047,154.947,0.279199,0.530559,0.347275,0.712414,0.550389,0.345057,0.51079,0.437597,0.316552,0.169721,4.55057,2.68902,7.90884,12.2321,14.4048,15.1136,15.3732,12.6832,7.98638,13.4428,14.7102,16.1308,21.4142,23.8222,24.0892,26.4684,24.0523
"3134",17,-0.894923412370785,58,5,0.502637,0.854094,1.03606,2.26463,2.4424,3.69239,4.56359,3.46845,1.96417,2.33068,0.867553,2.73274,2.61672,2.42971,1.75467,0.648094,2.46239,3.4032,52.8577,115.381,102.934,174.729,178.381,237.045,277.384,219.042,156.538,0.392927,0.171687,0.607851,0.451807,0.375437,0.303614,0.0357559,0.181112,0.307229,3.8711,2.96343,2.83797,6.08999,8.96741,13.3318,15.464,15.7678,12.211,9.36899,11.6764,9.42512,14.396,17.6612,21.8439,26.407,25.9054,21.375
"5092",47,-0.332131558497156,94,2,0.515577,0.785553,1.27868,2.23419,3.16885,4.00991,3.84564,3.48603,2.23295,1.77871,0.962377,1.24707,1.97692,1.50389,1.49448,1.61033,1.00041,0.861535,48.3652,85.6418,113.648,172.585,215.768,249.793,222.127,210.884,145.458,0.526882,0.554564,0.516129,0.353704,0.342294,0.358333,0.476703,0.24552,0.435185,2.76716,0.11787,2.76831,6.11865,9.10075,13.2162,14.7662,12.0259,11.22,7.08395,5.1238,10.4508,14.4056,17.4027,23.0792,23.4556,23.1272,22.0586
"2179",34,0.693016209673666,40,1,0.41739,0.647132,1.06839,1.95229,3.51726,3.16234,3.40319,3.34974,1.86686,0.760873,2.65466,3.82744,2.97651,2.02529,3.00734,2.9019,3.50378,1.80096,55.7965,82.7214,94.1233,151.128,230.971,212.87,218.253,201.818,139.627,0.154996,0.426409,0.552714,0.39878,0.328481,0.439431,0.374115,0.299371,0.376423,-2.92112,-1.00164,2.06813,4.12341,10.3303,12.5252,14.8048,14.7633,9.84867,2.43827,6.32835,10.1228,13.4127,20.2459,20.6656,23.9727,25.767,19.6472
"2158",13,1.15364880532344,40,1,0.309069,0.481587,0.717542,2.21584,2.10362,2.07535,3.90885,2.30773,1.95677,1.83023,1.04122,2.38737,1.20208,1.66141,4.30505,1.29152,3.13461,0.694612,39.5784,68.1248,103.585,192.615,173.049,165.703,271.214,178.758,178.686,0.324548,0.347125,0.426042,0.221138,0.43155,0.615041,0.238395,0.438238,0.221545,-2.33276,-1.2802,-2.5476,4.83892,10.013,10.7344,14.3945,13.3347,8.01188,3.6466,4.89166,5.23609,17.3027,19.0577,18.1472,24.8877,22.792,19.6365
"600",47,0.227447625038472,11,2,0.462694,0.663003,1.58574,2.34763,3.65609,4.56256,4.88547,3.84469,2.12639,1.46571,1.1521,1.41213,2.98494,2.02182,1.35127,0.745673,1.37058,4.21036,77.7302,102.314,163.154,187.713,249.74,283.219,283.04,232.887,160.26,0.349343,0.209788,0.298686,0.452346,0.371565,0.248642,0.17037,0.394026,0.429383,-0.906603,-3.03079,0.881283,4.70513,9.11482,14.2477,14.4255,12.5672,10.585,5.42622,3.22165,10.1346,13.1906,18.5547,24.2223,24.7269,23.0416,20.408
"2084",52,0.0515874293449574,38,1,0.235172,0.528746,1.29602,2.28625,2.37952,3.23251,4.42376,3.38641,2.09844,1.47773,2.0812,1.50502,1.08154,4.42897,3.78718,2.12271,1.19244,4.22955,48.6823,75.3584,140.032,198.176,183.798,224.466,276.965,225.346,169.023,0.635107,0.648423,0.460411,0.328139,0.639715,0.666667,0.432761,0.410976,0.486147,-4.94466,-3.05462,-0.866972,3.27727,5.55504,10.3319,13.4906,10.9172,6.72858,0.307943,2.63189,6.88855,13.3024,12.8056,18.0828,23.8037,21.9875,17.7864
"935",53,0.02925077727404,17,4,0.600212,0.923151,1.78534,3.25596,3.85788,3.47822,3.76696,3.1215,2.47482,1.36963,1.73686,1.04629,0.326373,0.473241,1.70183,2.50347,2.30919,1.30967,48.5538,71.3009,139.034,207.499,236.936,205.928,210.613,179.645,144.129,0.396774,0.585065,0.276246,0.175152,0.217009,0.263333,0.453079,0.505572,0.513939,2.15537,4.12442,4.82381,8.62481,11.4261,13.2838,14.42,14.9689,13.1532,7.59243,10.9005,14.372,21.0396,22.2907,22.3875,22.7955,24.4718,23.3317
"4128",54,-0.109538404899597,76,3,0.30323,0.716697,2.02317,1.65788,2.99972,3.63205,3.76578,3.47671,2.00715,2.26361,0.313071,0.989381,4.10556,3.10025,3.88207,3.1687,3.42121,3.34942,39.7535,97.1339,169.689,128.8,207.577,229.569,239.089,218.381,147.089,0.514232,0.158215,0.247312,0.710458,0.516129,0.520261,0.42062,0.454775,0.404575,1.81631,-4.05773,5.23064,6.15413,11.4889,14.9075,15.2267,16.6336,12.2072,5.74602,1.51034,14.7295,12.8319,19.2815,22.5879,23.3403,25.3949,20.2596
"3682",54,0.129973218091767,68,2,0.230182,0.618076,1.82247,1.68221,2.84219,3.16751,3.43664,3.4632,2.17185,2.90241,0.549071,1.13505,4.41986,3.05389,3.27197,1.86997,0.688489,2.51819,39.9242,97.9669,157.984,143.706,206.142,217.022,230.15,223.166,167.678,0.674405,0.311956,0.262587,0.632087,0.659029,0.729907,0.485378,0.293036,0.319938,1.93352,-4.51597,3.50199,4.75656,10.0928,12.9181,13.4293,15.0354,9.02259,6.51194,3.05207,14.7968,12.7191,18.8708,20.939,22.2676,25.652,21.1282
"2242",40,0.849773086723758,41,1,0.278394,0.812891,1.24084,1.2266,3.14593,3.21747,3.45498,2.99834,1.39735,5.30915,0.869303,2.41446,6.7727,1.46905,4.93168,3.37171,2.14075,8.79766,62.837,125.395,150.211,133.568,254.762,237.13,242.684,219.996,130.956,0.461667,0.0927644,0.238375,0.748052,0.312526,0.509524,0.371177,0.403435,0.650216,-2.36372,-1.05424,-0.768218,1.51064,7.52816,10.0166,12.0022,11.7483,7.86435,2.57987,7.29786,7.40556,8.59307,15.8152,17.9779,20.4523,20.5042,14.557
"2582",35,0.769624238885274,48,2,0.60939,0.869688,1.49538,1.89673,2.62913,3.60043,3.78097,3.78374,1.86386,0.662529,0.372154,0.21663,3.04743,3.14598,2.78984,1.15681,1.31758,5.38992,55.9324,88.8657,142.157,143.516,182.281,217.065,231.174,231.666,124.622,0.331406,0.0795148,0.0602556,0.568553,0.421789,0.488994,0.415703,0.136336,0.622642,3.73691,-0.871524,2.1119,6.17385,9.85194,13.3079,13.4451,13.0605,10.5943,9.23981,6.00474,12.3881,14.6292,18.2207,21.5865,22.537,24.2295,18.3122
"531",35,1.79052812658268,10,3,0.947128,1.3441,2.19008,2.43943,3.5402,4.68286,5.11418,4.40948,2.6743,0.20282,1.8625,1.71387,6.18794,1.91254,1.60161,0.946152,1.22007,4.64,87.2977,118.221,167.232,175.05,231.633,272.364,285.287,244.997,171.87,0.11027,0.30758,0.327189,0.585374,0.370968,0.330952,0.263331,0.281435,0.337415,3.43213,2.57817,4.48756,7.11444,11.6338,14.7331,15.2765,16.5429,12.4022,10.2697,8.72122,12.541,14.1247,18.9803,22.7697,23.5954,26.1917,20.7999
"3678",50,0.392818736333981,68,2,0.438437,0.813736,1.25547,1.90102,2.94193,3.23361,3.79813,2.79733,1.8918,2.73668,1.46835,4.6865,3.95764,3.44046,1.77644,2.02537,2.99178,2.39414,56.0832,105.325,120.55,164.233,216.054,220.551,250.445,192.321,158.419,0.649985,0.349662,0.760024,0.776636,0.516129,0.507788,0.356648,0.647573,0.419626,2.19433,1.08306,2.3748,4.69374,10.9019,12.7972,13.4503,13.459,8.1928,7.83166,10.3907,8.66197,12.5982,20.3367,20.6526,23.3375,21.916,18.4901
"859",34,1.77541416635955,16,3,0.662089,1.1048,1.71879,2.82668,4.41816,3.62239,4.45012,3.8049,2.64118,0.693551,0.906088,1.94121,1.47956,0.867414,3.94822,1.73028,4.38489,1.66019,72.3121,107.76,135.272,204.037,270.295,221.293,254.822,216.479,166.438,0.103086,0.263868,0.476157,0.486594,0.252805,0.570652,0.302945,0.367461,0.377174,-0.133895,1.06499,4.29887,5.10275,11.0675,12.981,14.7474,14.7907,10.1834,6.28859,9.96751,12.4244,14.7817,21.9789,21.0684,24.8095,25.0965,20.6494
"4416",57,0.882650651809977,81,1,0.511109,0.665697,1.39446,2.41291,2.48607,3.99444,3.19096,2.47934,1.9718,3.99732,2.66905,1.21532,0.849981,2.06496,1.00666,1.84413,3.63469,2.51238,29.1013,60.9099,108.444,177.52,168.289,244.58,186.061,151.161,131.743,0.666774,0.649286,0.524516,0.358667,0.632581,0.290333,0.64,0.450323,0.595,2.19617,1.42391,3.97822,5.90757,8.56471,10.7812,13.5012,13.9405,9.89315,6.54756,5.6485,9.37335,13.9653,14.8962,19.1947,21.1977,21.6176,16.3569
"4513",50,0.285394118172576,83,3,0.618282,0.932705,1.38328,2.07653,3.52156,3.73068,3.59226,2.83126,2.10898,1.80877,1.10624,4.31073,1.7281,2.38201,1.12035,1.87037,3.68881,2.13453,37.7745,82.8836,97.6547,153.443,220.613,228.691,207.547,163.69,133.521,0.646439,0.32605,0.879911,0.563036,0.438518,0.40297,0.591824,0.593101,0.461386,4.04265,2.32927,3.68469,4.84518,11.1412,11.0423,13.0508,13.8234,9.22562,8.27942,8.97349,8.90948,12.6968,19.5944,19.0266,21.3875,20.6081,17.9699
"1057",4,-1.09414653764061,20,2,0.732275,0.925945,1.20491,2.12648,3.12823,3.96283,4.76701,4.51205,2.51947,1.56028,4.27335,2.7818,1.69578,1.27319,0.677069,0.0758251,0.0464846,1.313,81.9732,103.046,115.96,188.074,243.918,285.462,313.642,302.151,189.601,0.26393,0.379329,0.512708,0.434848,0.142229,0.312626,0.0449658,0.0459433,0.182828,4.85462,3.1379,4.17563,7.56366,9.97493,13.5666,16.8009,17.6183,15.3475,10.3521,8.64509,8.82521,13.073,15.4919,19.0488,22.4951,23.659,21.6037
"4403",44,0.255943036173358,81,1,0.529729,1.03633,1.12293,2.1844,2.6125,2.76248,3.09234,2.43077,2.01125,2.32314,5.33347,2.35122,0.75565,2.74127,2.33068,2.64494,1.38201,1.39327,34.2934,56.2746,93.0036,150.901,166.095,169.508,186.339,147.688,127.617,0.684516,0.723571,0.533548,0.379333,0.609032,0.557,0.544516,0.557742,0.307667,3.61904,5.43676,4.80751,5.82831,9.29581,12.1611,13.3557,14.1277,10.7936,7.51923,9.78854,11.3294,13.197,15.0749,17.8159,18.913,20.4099,18.5335
"4406",47,0.573966115587137,81,1,0.698278,0.811628,1.19643,1.89854,2.64641,3.40732,3.37709,3.22912,1.88564,2.27344,1.902,1.20561,2.64928,2.56786,1.25859,2.91728,2.19219,1.60212,39.3666,64.3674,91.6042,134.826,173.17,209.788,195.955,193.459,119.645,0.676452,0.591071,0.479355,0.444667,0.50871,0.305667,0.603226,0.37129,0.585,4.02419,1.50447,3.79475,6.4895,8.97662,12.5114,14.2157,12.911,12.4872,7.74333,5.13296,9.58238,12.8839,15.1416,20.2581,20.3509,20.5934,20.0012
"391",8,-0.281118678087595,8,3,0.354609,0.567202,1.46082,1.68339,2.78929,3.32703,3.50541,2.92815,2.55392,2.78726,3.86895,2.1201,4.11676,6.58361,2.46327,2.68667,1.47295,1.12879,60.4743,76.0586,169.04,163.172,224.245,249.383,246.875,211.583,202.773,0.396559,0.41619,0.366452,0.646222,0.554409,0.356444,0.546667,0.27957,0.182667,0.848013,3.82304,0.737856,5.03939,7.60613,11.4929,11.9022,12.2957,11.2895,5.97602,9.66498,7.88271,12.4362,14.887,18.5032,18.7484,19.9949,21.0863
"663",53,1.16867840780328,12,4,0.315344,0.462424,1.57936,2.94857,3.79896,3.19377,2.98234,3.00121,2.17536,1.75588,0.870346,0.682144,0.675627,1.08258,3.19819,3.04827,3.18425,1.3492,36.2174,61.7082,148.705,216.767,256.315,202.153,200.468,197.008,155.203,0.492043,0.523809,0.231398,0.293778,0.387527,0.541778,0.580215,0.565161,0.419556,0.0980586,0.684121,2.96792,8.18691,10.5258,13.798,12.7783,14.6211,11.9833,4.42441,5.78984,12.2621,19.1814,21.0744,21.6023,20.8491,23.7,22.3404
"4091",17,0.121866026949866,76,3,0.552434,0.674048,0.577982,1.8219,1.85118,2.83549,3.97394,2.82705,1.43208,2.54586,0.954582,2.47012,1.32517,3.16679,2.9603,1.42018,3.7732,5.3683,35.29,100.9,61.0844,148.888,147.792,203.944,255.258,183.465,107.726,0.470588,0.260504,0.57685,0.444444,0.615433,0.488235,0.342188,0.456673,0.566013,2.40606,-0.0368392,1.56079,4.27564,7.95502,11.59,14.2444,14.8223,12.3576,7.51255,7.79319,6.85792,12.9131,15.4427,19.0351,24.1,24.6302,19.8918
"1740",36,-0.545746042976164,32,4,0.869666,0.90937,2.23395,2.28239,3.29492,5.25453,5.42966,4.17806,2.0586,2.89747,6.27707,0.291565,2.50688,2.22452,1.26323,0.327222,0.811202,10.918,77.2835,80.7703,163.976,160.406,208.793,290.871,293.017,233.826,135.502,0.126287,0.389818,0.0511325,0.418794,0.265614,0.229787,0.122855,0.221688,0.434752,2.70642,3.11766,6.85356,6.65392,11.7569,15.4796,19.2063,18.4931,13.2928,10.0515,9.93907,17.5126,14.093,20.7709,25.3548,31.0743,30.2096,21.2895
"1467",34,1.21758121284894,27,5,0.430781,0.764844,1.21612,2.2464,3.14455,2.88175,4.07971,3.97547,2.14676,1.06697,1.16696,2.29353,1.84316,3.10046,6.15953,2.36716,3.56018,4.31259,74.2399,108.711,133.099,195.611,226.837,213.553,265.129,254.342,176.144,0.19513,0.189317,0.339975,0.204575,0.434851,0.732026,0.421252,0.269133,0.250654,-1.93887,-0.483787,2.78466,5.04677,10.1923,11.3062,14.6712,14.9631,10.2151,4.5205,7.92911,11.0347,14.1218,19.7184,18.4424,24.5454,27.5944,20.4465
"1135",37,0.384837058966528,21,1,0.363078,0.603192,1.22914,2.0054,2.87076,3.5976,4.10347,2.91564,1.26215,4.61688,3.69955,3.09798,2.90675,3.95285,1.10929,2.06189,2.10512,3.72991,43.2338,72.974,127.145,171.946,223.373,242.758,253.628,191.339,112.95,0.635674,0.623687,0.37666,0.485784,0.416746,0.4375,0.350806,0.467979,0.559559,-0.0350609,3.35518,0.840784,5.09277,8.82806,11.2682,16.2018,14.457,9.09869,4.91018,8.92397,8.84088,12.6571,17.9184,19.4861,26.2864,24.1869,16.0602
"7",7,0.13170089576301,1,3,0.295047,0.529465,1.08925,1.29556,2.28783,2.98314,2.81184,2.48224,1.27767,3.57253,0.947273,4.99835,3.85682,4.26453,1.81063,5.35047,3.43412,9.13905,33.9143,97.1586,115.375,125.716,181.362,200.875,194.565,180.325,109.181,0.678121,0.236801,0.500701,0.70942,0.48913,0.457609,0.564166,0.509467,0.667391,-0.838395,-5.4716,1.47802,3.80686,8.18298,12.984,12.9216,12.1547,9.2415,4.00556,1.58452,9.44506,11.326,16.5768,21.1366,20.76,21.4713,17.0162
"3846",47,-0.0587075104019981,71,1,0.389801,0.690174,1.4063,2.09485,3.09677,4.00404,3.87363,3.54958,2.23585,2.3331,1.29431,1.40791,1.94062,2.79496,0.81139,1.73217,1.16973,0.693806,47.4033,87.983,128.055,168.727,214.452,252.683,232.619,215.888,152.164,0.679154,0.564516,0.46965,0.446237,0.517516,0.170968,0.57128,0.374263,0.369892,2.97291,0.106282,2.73503,5.41881,8.71585,12.559,13.9007,11.3734,10.7917,7.19549,5.05369,10.3156,13.4361,16.2866,22.0196,22.1476,22.2066,20.8824
